id;number_of_check_ins
2020_1_30_2;0.7
2020_1_30_3;0.8
2020_1_30_4;2.2
2020_1_30_5;22.3
2020_1_30_6;138
2020_1_30_7;411.5
2020_1_30_8;489.4
2020_1_30_9;303.4
2020_1_30_10;235.4
2020_1_30_11;239.4
2020_1_30_12;286
2020_1_30_13;282
2020_1_30_14;308.40000000000003
2020_1_30_15;364.1
2020_1_30_16;428.3
2020_1_30_17;467.6
2020_1_30_18;288.6
2020_1_30_19;165.7
2020_1_30_20;122.8
2020_1_30_21;116.8
2020_1_30_22;96
2020_1_30_23;60.900000000000006
2020_1_31_0;22.3
2020_1_31_1;2.3
2020_1_31_2;1.1
2020_1_31_3;1.6
2020_1_31_4;3.4
2020_1_31_5;21.3
2020_1_31_6;106.6
2020_1_31_7;325
2020_1_31_8;396.5
2020_1_31_9;257.6
2020_1_31_10;216.4
2020_1_31_11;237.4
2020_1_31_12;293.7
2020_1_31_13;292.1
2020_1_31_14;317
2020_1_31_15;347.3
2020_1_31_16;378.6
2020_1_31_17;389
2020_1_31_18;269.6
2020_1_31_19;169.6
2020_1_31_20;129.5
2020_1_31_21;113.3
2020_1_31_22;109
2020_1_31_23;94.3
2020_2_1_0;48.7
2020_2_1_1;9.7
2020_2_1_2;4.1000000000000005
2020_2_1_3;4.1000000000000005
2020_2_1_4;4.4
2020_2_1_5;6.2
2020_2_1_6;16.1
2020_2_1_7;36.4
2020_2_1_8;70.9
2020_2_1_9;99.7
2020_2_1_10;120
2020_2_1_11;149.79999999999998
2020_2_1_12;176.3
2020_2_1_13;194.3
2020_2_1_14;199.1
2020_2_1_15;196.2
2020_2_1_16;195.3
2020_2_1_17;193.7
2020_2_1_18;157.1
2020_2_1_19;119.8
2020_2_1_20;96.9
2020_2_1_21;89.2
2020_2_1_22;91
2020_2_1_23;90.4
2020_2_2_0;46.7
2020_2_2_1;10
2020_2_2_2;4.9
2020_2_2_3;4.9
2020_2_2_4;5.4
2020_2_2_5;5.8
2020_2_2_6;6.7
2020_2_2_7;17.5
2020_2_2_8;35.3
2020_2_2_9;60.900000000000006
2020_2_2_10;76.2
2020_2_2_11;104.1
2020_2_2_12;127.5
2020_2_2_13;144.6
2020_2_2_14;150.2
2020_2_2_15;147.2
2020_2_2_16;138.7
2020_2_2_17;133.39999999999998
2020_2_2_18;115.9
2020_2_2_19;107.7
2020_2_2_20;88.4
2020_2_2_21;71.9
2020_2_2_22;54.9
2020_2_2_23;34.1
2020_2_3_0;10.2
2020_2_3_1;1.2
2020_2_3_2;0.5
2020_2_3_3;0.7
2020_2_3_4;2.2
2020_2_3_5;23.7
2020_2_3_6;145.7
2020_2_3_7;467.1
2020_2_3_8;535.3
2020_2_3_9;281.3
2020_2_3_10;209.4
2020_2_3_11;211.1
2020_2_3_12;260.2
2020_2_3_13;255
2020_2_3_14;299.70000000000005
2020_2_3_15;374.3
2020_2_3_16;447.6
2020_2_3_17;485.2000000000001
2020_2_3_18;257.1
2020_2_3_19;128.89999999999998
2020_2_3_20;89.1
2020_2_3_21;77.60000000000001
2020_2_3_22;63.1
2020_2_3_23;34.3
2020_2_4_0;10.4
2020_2_4_1;1
2020_2_4_2;0.5
2020_2_4_3;0.7
2020_2_4_4;2
2020_2_4_5;23.6
2020_2_4_6;154.1
2020_2_4_7;508
2020_2_4_8;581.7
2020_2_4_9;298.70000000000005
2020_2_4_10;214.5
2020_2_4_11;214.7
2020_2_4_12;277.1
2020_2_4_13;274.1
2020_2_4_14;328.1
2020_2_4_15;393.9
2020_2_4_16;462.6
2020_2_4_17;508.5
2020_2_4_18;280.3
2020_2_4_19;134.6
2020_2_4_20;94.6
2020_2_4_21;87.6
2020_2_4_22;70.5
2020_2_4_23;40.3
2020_2_5_0;12.1
2020_2_5_1;1.2
2020_2_5_2;0.6
2020_2_5_3;0.7
2020_2_5_4;2
2020_2_5_5;21.4
2020_2_5_6;132.3
2020_2_5_7;436.9
2020_2_5_8;508.8
2020_2_5_9;279.4
2020_2_5_10;212.1
2020_2_5_11;221.2
2020_2_5_12;282.5
2020_2_5_13;275.9
2020_2_5_14;305.8
2020_2_5_15;367.1
2020_2_5_16;430.6
2020_2_5_17;455.9
2020_2_5_18;258.1
2020_2_5_19;133.89999999999998
2020_2_5_20;96.5
2020_2_5_21;89.80000000000001
2020_2_5_22;76.2
2020_2_5_23;43.6
2020_2_6_0;13
2020_2_6_1;1.4
2020_2_6_2;0.7
2020_2_6_3;0.8
2020_2_6_4;2.1
2020_2_6_5;22.5
2020_2_6_6;144.2
2020_2_6_7;468.8
2020_2_6_8;546.6
2020_2_6_9;293.6
2020_2_6_10;215.6
2020_2_6_11;218.7
2020_2_6_12;273.6
2020_2_6_13;272.6
2020_2_6_14;315
2020_2_6_15;384.2
2020_2_6_16;447.6
2020_2_6_17;485.9
2020_2_6_18;281.1
2020_2_6_19;150.7
2020_2_6_20;113.5
2020_2_6_21;109.3
2020_2_6_22;90.2
2020_2_6_23;55.6
2020_2_7_0;18.8
2020_2_7_1;2
2020_2_7_2;1
2020_2_7_3;1.4
2020_2_7_4;3
2020_2_7_5;20.7
2020_2_7_6;111.3
2020_2_7_7;381.1
2020_2_7_8;457.2
2020_2_7_9;267.6
2020_2_7_10;212.4
2020_2_7_11;223.5
2020_2_7_12;288.5
2020_2_7_13;291.2
2020_2_7_14;334
2020_2_7_15;379.3
2020_2_7_16;400
2020_2_7_17;412.7
2020_2_7_18;279.4
2020_2_7_19;169.7
2020_2_7_20;124.7
2020_2_7_21;111.2
2020_2_7_22;108.3
2020_2_7_23;91
2020_2_8_0;42.7
2020_2_8_1;8.4
2020_2_8_2;3.7
2020_2_8_3;3.4
2020_2_8_4;3.6
2020_2_8_5;6.4
2020_2_8_6;15.9
2020_2_8_7;36.6
2020_2_8_8;71.1
2020_2_8_9;105.8
2020_2_8_10;125.7
2020_2_8_11;154.4
2020_2_8_12;176.3
2020_2_8_13;195.4
2020_2_8_14;194.6
2020_2_8_15;188.7
2020_2_8_16;189.8
2020_2_8_17;181.5
2020_2_8_18;148
2020_2_8_19;115.5
2020_2_8_20;97.7
2020_2_8_21;84.8
2020_2_8_22;87.9
2020_2_8_23;81.8
2020_2_9_0;43.5
2020_2_9_1;9.4
2020_2_9_2;4.9
2020_2_9_3;4.6
2020_2_9_4;4.9
2020_2_9_5;5.4
2020_2_9_6;6
2020_2_9_7;14
2020_2_9_8;28.4
2020_2_9_9;51.4
2020_2_9_10;68.3
2020_2_9_11;88.3
2020_2_9_12;103.9
2020_2_9_13;110.3
2020_2_9_14;110.2
2020_2_9_15;104.5
2020_2_9_16;96.5
2020_2_9_17;91.4
2020_2_9_18;71.7
2020_2_9_19;58.9
2020_2_9_20;49.3
2020_2_9_21;42
2020_2_9_22;35.4
2020_2_9_23;24.1
2020_2_10_0;7.4
2020_2_10_1;1
2020_2_10_2;0.4
2020_2_10_3;0.6
2020_2_10_4;2.1
2020_2_10_5;23.5
2020_2_10_6;152.60000000000002
2020_2_10_7;500.1
2020_2_10_8;584.5
2020_2_10_9;314.90000000000003
2020_2_10_10;230.7
2020_2_10_11;220.3
2020_2_10_12;272.4
2020_2_10_13;267.6
2020_2_10_14;324.79999999999995
2020_2_10_15;415.9
2020_2_10_16;489.9
2020_2_10_17;524.8000000000001
2020_2_10_18;277.1
2020_2_10_19;129.8
2020_2_10_20;90.3
2020_2_10_21;79.5
2020_2_10_22;63.8
2020_2_10_23;36.5
2020_2_11_0;11.1
2020_2_11_1;1.2
2020_2_11_2;0.5
2020_2_11_3;0.6
2020_2_11_4;2
2020_2_11_5;24.5
2020_2_11_6;161.8
2020_2_11_7;540.9000000000001
2020_2_11_8;622.1
2020_2_11_9;325.40000000000003
2020_2_11_10;227.4
2020_2_11_11;222.1
2020_2_11_12;287.1
2020_2_11_13;286.2
2020_2_11_14;345
2020_2_11_15;422.8
2020_2_11_16;489.7000000000001
2020_2_11_17;540.4
2020_2_11_18;303.1
2020_2_11_19;146.4
2020_2_11_20;99.3
2020_2_11_21;92.6
2020_2_11_22;79.2
2020_2_11_23;46.3
2020_2_12_0;13.3
2020_2_12_1;1.4
2020_2_12_2;0.6
2020_2_12_3;0.8
2020_2_12_4;2.1
