userstopcode;userstopareacode;stopname
54210520;dhglvh;Den Haag, Laan van Hoornwijck
54210530;ndprid;Nootdorp, Ridderspoor
54210540;ndprid;Nootdorp, Ridderspoor
54210550;ndpdui;Nootdorp, Duizendschoon
54210560;ndpdui;Nootdorp, Duizendschoon
54210590;ndpcen;Nootdorp, Centrum/Parade
54210610;dhggru;Den Haag, Gruttosingel
54210620;dhggru;Den Haag, Gruttosingel
54210660;ndprr;Nootdorp, Station Nootdorp
54210670;ndprr;Nootdorp, Station Nootdorp
54210680;ndprr;Nootdorp, Station Nootdorp
54210690;ndpvnh;Nootdorp, Veenhage
54210700;ndpvnh;Nootdorp, Veenhage
54210710;dhgdef;Den Haag, Defensie
54210730;ndpdcs;Nootdorp, Dominee C. Spoorlaan
54210740;ndpdcs;Nootdorp, Dominee C. Spoorlaan
54210770;dhgwei;Den Haag, Weidevogellaan
54210780;dhgwei;Den Haag, Weidevogellaan
54210790;ndpgil;Nootdorp, Gildeweg
54210800;ndpgil;Nootdorp, Gildeweg
54210830;ndplrx;Nootdorp, Larixlaan
54210840;ndplrx;Nootdorp, Larixlaan
54210850;dhglvn;Den Haag, Laan van Nootdorp
54210860;dhglvn;Den Haag, Laan van Nootdorp
54210910;dhgwwb;Den Haag, Waterweegbree
54210920;dhgwwb;Den Haag, Waterweegbree
54210930;dhgsyp;Den Haag, Station Ypenburg
54210940;dhgsyp;Den Haag, Station Ypenburg
54210950;dhgsyp;Den Haag, Station Ypenburg
54210960;dhgsyp;Den Haag, Station Ypenburg
54216000;dhglvy;Den Haag, Laan van Ypenburg
54216010;dhglvy;Den Haag, Laan van Ypenburg
54216020;dhglgr;Den Haag, Laan van 's-Gravenmade
54217052;Z2021;Zonegrens 5420/5421
54230010;lsdggz;Leidschendam, GGZ Rivierduinen
54230020;vstgdl;Voorschoten, Gouden Leeuw
54230030;lsdvdt;Leidschendam, Vlindertuin
54230040;vstkni;Voorschoten, Kniplaan
54230050;vstkni;Voorschoten, Kniplaan
54230060;lsdvdt;Leidschendam, Vlindertuin
54240010;wsnwdr;Wassenaar, Wildrust
54240020;wsnwey;Wassenaar, Weyermanstraat
54240030;wsnswl;Wassenaar, Strandwal
54240040;wsnswl;Wassenaar, Strandwal
54240070;wsnwey;Wassenaar, Weyermanstraat
54240080;wsnmdr;Wassenaar, Maaldrift
54240090;wsnaml;Wassenaar, Ammonslaantje
54240100;wsnaml;Wassenaar, Ammonslaantje
54240110;wsnold;Wassenaar, van Oldenbarneveltweg
54240120;wsnold;Wassenaar, van Oldenbarneveltweg
54240210;wsnpgl;Wassenaar, Papegaaienlaan
54240220;wsnpgl;Wassenaar, Papegaaienlaan
54240230;wsnrzp;Wassenaar, Rozenplein
54240240;wsnrzp;Wassenaar, Rozenplein
54240250;wsnahl;Wassenaar, Admiraal Helfrichlaan
54240260;wsnahl;Wassenaar, Admiraal Helfrichlaan
54240270;wsntwl;Wassenaar, Ter Weerlaan
54240280;wsntwl;Wassenaar, Ter Weerlaan
54240290;wsnjkl;Wassenaar, Jonkerlaan
54240300;wsnjkl;Wassenaar, Jonkerlaan
54240310;wsndvl;Wassenaar, van Duivenvoordelaan
54240320;wsndvl;Wassenaar, van Duivenvoordelaan
54240330;wsnbtl;Wassenaar, Burchtlaan
54240340;wsnbtl;Wassenaar, Burchtlaan
54240350;wsnshp;Wassenaar, Stadhoudersplein
54240360;wsnshp;Wassenaar, Stadhoudersplein
54240370;wsnman;Wassenaar, Dr. Mansveltkade
54240380;wsnman;Wassenaar, Dr. Mansveltkade
54240390;wsnlkd;Wassenaar, Lange Kerkdam
54240400;wsnlkd;Wassenaar, Lange Kerkdam
54240430;wsnjdw;Wassenaar, Johan de Wittstraat
54240440;wsnjdw;Wassenaar, Johan de Wittstraat
54240450;wsnjdw;Wassenaar, Johan de Wittstraat
54240470;wsnstb;Wassenaar, Starrenburglaan
54240480;wsnstb;Wassenaar, Starrenburglaan
54240490;wsnrph;Wassenaar, Raaphorst
54240500;wsnrph;Wassenaar, Raaphorst
54241220;wsndui;Wassenaar, Duinrell
54247014;Z2433;Zonegrens 5424/5433
54247026;Z1424;Zonegrens 5414/5424
54248931;;NPKAR0202
54248932;;NPKAR202
54260010;dhohnd;Den Hoorn, Harnaschdreef
54260020;dhohnd;Den Hoorn, Harnaschdreef
54260035;dftpzm;Delft, Parkzoom
54260045;dftpzm;Delft, Parkzoom
54260070;dhohee;Den Hoorn, Heernesse
54260080;dhohee;Den Hoorn, Heernesse
54260090;dftlhk;Delft, Lindenhof/Kuyperweg
54260100;dftlhk;Delft, Lindenhof/Kuyperweg
54260110;dftwet;Delft, Weteringlaan
54260120;dftwet;Delft, Weteringlaan
54260130;dhoghl;Den Hoorn, Gasthuisland
54260140;dhoghl;Den Hoorn, Gasthuisland
54260150;dfthdg;Delft, Hugo de Grootstraat
54260160;dfthdg;Delft, Hugo de Grootstraat
54260170;dfthsd;Delft, Hoefslagendreef
54260180;dfthsd;Delft, Hoefslagendreef
54260190;dftbol;Delft, Bolwerk
54260200;dftbol;Delft, Bolwerk
54260230;dftlls;Delft, van der Lelijstraat
54260240;dftlls;Delft, van der Lelijstraat
54260250;dhowou;Den Hoorn, Woudselaan
54260260;dhowou;Den Hoorn, Woudselaan
54260270;dftfve;Delft, J.J. Slauerhofflaan
54260280;dftfve;Delft, J.J. Slauerhofflaan
54260330;dftlam;Delft, Latijns Amerikalaan
54260340;dftlam;Delft, Latijns Amerikalaan
54260390;dftwlh;Delft, Westlandhof
54260400;dftwlh;Delft, Westlandhof
54260410;dftmll;Delft, Marlotlaan
54260420;dftmll;Delft, Marlotlaan
54260430;dfttec;Delft, Technopolis
54260450;dftfvb;Delft, Frank van Borselenstraat
54260460;dftpoo;Delft, Pootstraat
54260470;dftkpw;Delft, Krakeelpolderweg
54260480;dftkpw;Delft, Krakeelpolderweg
54260490;dftvfp;Delft, Van Foreestplein
54260500;dftvfp;Delft, Van Foreestplein
