userstopcode;userstopareacode;stopname
58650590;alsrsw;Almere Stad, Romy Schneiderweg
58650600;alsrsw;Almere Stad, Romy Schneiderweg
58650610;alsbun;Almere Stad, Bunuellaan
58650620;alsbun;Almere Stad, Bunuellaan
58650640;alswdi;Almere Stad, Walt Disneyplantsoen
58650930;alsoor;Almere Stad, Busstation 't Oor
58650950;alsvlk;Almere Stad, Veluwsekant
58650970;alskas;Almere Stad, Kasteel
58655070;alsstc;Almere Stad, Station Centrum
58655110;alsstc;Almere Stad, Station Centrum
58655610;alswdi;Almere Stad, Walt Disneyplantsoen
58657000;;Zonegrens, 5861/5865
58710010;alhvlw;Almere Hout, Vogelweg
58710020;alhvlw;Almere Hout, Vogelweg
58710021;alhsti;Almere Hout, Stichtse Brug
58710040;alhpar;Almere Hout, Paradijsvogelweg
58710050;alhpar;Almere Hout, Paradijsvogelweg
58710100;alhnac;Almere Hout, Nachtegaallaan
58710110;alhnac;Almere Hout, Nachtegaallaan
58710120;alhstk;Almere Hout, Stichtsekant
58710130;alhstk;Almere Hout, Stichtsekant
59700010;alhsti;Almere Hout, Stichtse Brug
60000021;achhel;Achterveld, Helweg
60000094;apdaal;Apeldoorn, Aalbert Cuyplaan
60000096;apdaur;Apeldoorn, Auroralaan
60000102;apdbrn;Apeldoorn, Burg. Roosmale Nepveulaan
60000111;apdede;Apeldoorn, Edelweisslaan
60000113;apdemm;Apeldoorn, Emmaplein
60000115;apdfer;Apeldoorn, Ferd. Bollaan
60000125;apdkas;Apeldoorn, Het Kasteel
60000134;apdklo;Apeldoorn, Koning Lodewijklaan
60000142;apdlip;Apeldoorn, Lippe Biesterfeldstraat
60000145;apdkaz;Apeldoorn, Marechausseekazerne
60000148;apdmau;Apeldoorn, Mauvestraat
60000149;apdmch;Apeldoorn, Marchantstraat
60000151;apdmch;Apeldoorn, Marchantstraat
60000155;apdorp;Apeldoorn, Orpheus
60000158;apdfiz;Apeldoorn, FizzionParc
60000159;apdpau;Apeldoorn, Paulus Potterlaan
60000162;apdwca;Apeldoorn, Winkelcentrum Anklaar
60000168;apdrem;Apeldoorn, Rembrandtlaan
60000171;apdrob;Apeldoorn, Robijnstraat
60000172;apddsl;Apeldoorn, De Savornin Lohmanstraat
60000173;apddsl;Apeldoorn, De Savornin Lohmanstraat
60000183;apdste;Apeldoorn, Stephensonstraat
60000186;apdtal;Apeldoorn, Talma Borgh
60000192;apdtui;Apeldoorn, Tuinmanslaan
60000203;apdzus;Apeldoorn, Zuster Meyboomlaan
60001150;apdmer;Apeldoorn, Mercatorplein
60002205;apdzan;Apeldoorn, Zanderijweg
60002210;apdwca;Apeldoorn, Winkelcentrum Anklaar
99990032;barstn;Barneveld, Station Barneveld Noord
99990033;barstn;Barneveld, Station Barneveld Noord
52460010;zulbie;Zuidland, Biert
52460020;spiwes;Spijkenisse, Westdijk
52460030;simdrp;Simonshaven, Simonshaven
52460040;simdrp;Simonshaven, Simonshaven
52460050;hekdor;Hekelingen, Dorpsstraat
52460060;spiwes;Spijkenisse, Westdijk
52470010;hevgro;Heenvliet, Heenvliet
52470020;geegro;Geervliet, Geervliet
52470030;geegro;Geervliet, Geervliet
52470040;spilag;Spijkenisse, Laanweg
52470060;hevgro;Heenvliet, Heenvliet
52470070;hevgro;Heenvliet, Heenvliet
52470080;hevdor;Heenvliet, Dorp
52470090;hevdor;Heenvliet, Dorp
52470100;geedor;Geervliet, Dorp
52470110;geedor;Geervliet, Dorp
52470120;geegro;Geervliet, Geervliet
52470130;geegro;Geervliet, Geervliet
52479005;;Waypoint 005
52560010;oudrui;Oudenhoorn, Ruigendijk
52560020;zulbie;Zuidland, Biert
52560030;zulhaa;Zuidland, Haasdijk
52560040;zulcen;Zuidland, Zuidland Centrum
52560050;zuljul;Zuidland, Julianastraat
52560060;zuljul;Zuidland, Julianastraat
52560070;zulcen;Zuidland, Zuidland Centrum
52560080;zulhaa;Zuidland, Haasdijk
52560090;zulsta;Zuidland, Stationsweg
52560100;zulsta;Zuidland, Stationsweg
52560110;zulker;Zuidland, Kerkweg
52560120;zulker;Zuidland, Kerkweg
52560130;zulram;Zuidland, Ramshilseweg
52560140;zulram;Zuidland, Ramshilseweg
52560170;zulhar;Zuidland, Harregat
52560180;zulhar;Zuidland, Harregat
52560190;zulpar;Zuidland, Paradijsstraat
52560200;abrdor;Abbenbroek, Dorp
52560210;zuldro;Zuidland, Drogendijk
52560220;zulsta;Zuidland, Stationsweg
52560230;zulsta;Zuidland, Stationsweg
52560240;zuldro;Zuidland, Drogendijk
52560250;abrdor;Abbenbroek, Dorp
52560260;zulpar;Zuidland, Paradijsstraat
52560270;abrgem;Abbenbroek, Gemeentehuis
52560280;abrgem;Abbenbroek, Gemeentehuis
52570010;helrij;Hellevoetsluis, Rijswaardsebrug
52570020;hevgro;Heenvliet, Heenvliet
52570030;zwwdrp;Zwartewaal, Zwartewaal
52570040;heebvk;Heenvliet, Brug Voornse kanaal
52570050;heebvk;Heenvliet, Brug Voornse kanaal
52570060;zwwdrp;Zwartewaal, Zwartewaal
52570100;heebvk;Heenvliet, Brug Voornse kanaal
52577000;;Zonegrens 5257/5267
52577010;;Zonegrens, 5257/5266
52579004;;Waypoint 004
52579006;;Waypoint 006
52579007;;Waypoint 007
52660020;oudrui;Oudenhoorn, Ruigendijk
52660040;ouhdrp;Oudenhoorn, Oudenhoorn
52660050;ouhdrp;Oudenhoorn, Oudenhoorn
52660060;oudzor;Oudenhoorn, Zorgboerderij
52660070;oudzor;Oudenhoorn, Zorgboerderij
52660080;helrij;Hellevoetsluis, Rijswaardsebrug
52660090;ouhjul;Oudenhoorn, Julianastraat
52667000;;Zonegrens, 5257/5266
52667010;;Zonegrens, 5266/5276
52667020;;Zonegrens 5266/5276
52670010;bripri;Brielle, Prinsestee
52670020;viegkw;Vierpolders, Seggelant
52670040;bribus;Brielle, Busstation Rugge
52670052;bribus;Brielle, Busstation Rugge
52670053;bribus;Brielle, Busstation Rugge
52670054;bribus;Brielle, Busstation Rugge
52670070;viegkw;Vierpolders, Seggelant
52670090;brizuu;Brielle, Zuurland
52670100;brinie;Brielle, Nieuwland
52670110;brinie;Brielle, Nieuwland
52670130;bripen;Brielle, Pensionaris
52670142;bricen;Brielle, Brielle Centrum
52670153;bricen;Brielle, Brielle Centrum
52670160;briboo;Brielle, G.J. van den Boogerdweg
52670170;briboo;Brielle, G.J. van den Boogerdweg
52670180;brikra;Brielle, Krammer
52670181;brikra;Brielle, Krammer
52670240;briwat;Brielle, Watering
52670350;briame;Brielle, Amer (Medisch Centrum)
52670351;briame;Brielle, Amer (Medisch Centrum)
52670360;bripla;Brielle, Plantageweg
52670361;bripla;Brielle, Plantageweg
52670370;brirp2;Brielle, Ruggeplein
52670380;brirp2;Brielle, Ruggeplein
52670390;brianh;Brielle, Anna Hoevestraat
52670410;brivoo;Brielle, Gerard Van Voornestraat
52670430;bridub;Brielle, Dukdalf/Bres
52670440;bribar;Brielle, Bark
52670450;briakk;Brielle, Akker
52670460;brilan;Brielle, Landvoogdes
52670480;brilum;Brielle, Lumeyweg
52670490;briruy;Brielle, Ruyghavenweg
52670500;briprk;Brielle, Prinsenkwartier
52670510;brikaa;Brielle, Kaaisingel
52670520;brilij;Brielle, Lijnbaan
52670840;brigem;Brielle, Gemeentehuis
52677000;;Zonegrens 5257/5267
52677001;;Zonegrens 5267/5277
52677010;;Zonegrens 5267/5347
52679012;;Waypoint 012
52760010;nhodrp;Nieuwenhoorn, Nieuwenhoorn
52760020;helkic;Hellevoetsluis, Kickersbloem
52760040;helman;Hellevoetsluis, Mandenmaker
52760060;helkoo;Hellevoetsluis, Kooistee
52760070;helhos;Hellevoetsluis, Hoonaartstraat
52760080;helvlo;Hellevoetsluis, Vlotbrug
52760090;helsmi;Hellevoetsluis, Smitsweg
52760100;helebs;Hellevoetsluis, Ebstroom
52760110;helvoo;Hellevoetsluis, Voorweg
52760130;helbla;Hellevoetsluis, J.Blankenstraat
52760150;helves;Hellevoetsluis, Vesting
52760170;helvla;Hellevoetsluis, Vlasakkerlaan
52760190;helkic;Hellevoetsluis, Kickersbloem
52760191;helamn;Hellevoetsluis, Amnesty Int.laan
52760200;helspo;Hellevoetsluis, Sportlaan
52760210;helspo;Hellevoetsluis, Sportlaan
52760222;helamn;Hellevoetsluis, Amnesty Int.laan
52760230;helspr;Hellevoetsluis, De Sprong
52760240;helvla;Hellevoetsluis, Vlasakkerlaan
52760250;helwin;Hellevoetsluis, Winkelcentrum
52760260;helves;Hellevoetsluis, Vesting
52760270;helpla;Hellevoetsluis, Plataanlaan
52760280;helbla;Hellevoetsluis, J.Blankenstraat
52760290;helsto;Hellevoetsluis, Stoofweg
52760291;helsto;Hellevoetsluis, Stoofweg
52760300;helkic;Hellevoetsluis, Kickersbloem
52760310;helebs;Hellevoetsluis, Ebstroom
52760320;helsmi;Hellevoetsluis, Smitsweg
52760330;helvlo;Hellevoetsluis, Vlotbrug
52760340;helhos;Hellevoetsluis, Hoonaartstraat
52760350;helkoo;Hellevoetsluis, Kooistee
52760370;helman;Hellevoetsluis, Mandenmaker
52760390;helkan;Hellevoetsluis, Kanaalweg
52760400;helkan;Hellevoetsluis, Kanaalweg
52760410;helkoo;Hellevoetsluis, Kooistee
52760420;helkin;Hellevoetsluis, M.L.Kinglaan
52760430;helkin;Hellevoetsluis, M.L.Kinglaan
52760440;helalb;Hellevoetsluis, A.Schweitzerlaan
52760450;helalb;Hellevoetsluis, A.Schweitzerlaan
52760460;helkng;Hellevoetsluis, Koninginnelaan
52760470;helkng;Hellevoetsluis, Koninginnelaan
52760480;helbrk;Hellevoetsluis, J.van Brakelpad
52760490;helbrk;Hellevoetsluis, J.van Brakelpad
52760500;helstr;Hellevoetsluis, Struytse Hoeck
52760510;helstr;Hellevoetsluis, Struytse Hoeck
52760530;helwib;Hellevoetsluis, Wkc.Bonsenhoek
52760540;helwib;Hellevoetsluis, Wkc.Bonsenhoek
52760550;helbon;Hellevoetsluis, Bonseweg
52760560;helbon;Hellevoetsluis, Bonseweg
52760570;heluni;Hellevoetsluis, Uniceflaan
52760580;heluni;Hellevoetsluis, Uniceflaan
52760610;helpla;Hellevoetsluis, Plataanlaan
52760620;helpla;Hellevoetsluis, Plataanlaan
52760630;helvol;Hellevoetsluis, Voltaweg
52760640;helhop;Hellevoetsluis, Hopperweg
52767000;;Zonegrens, 5266/5276
52767010;;Zonegrens, 5266/5276
52770010;rocber;Rockanje, Berkenrode
52770020;bripri;Brielle, Prinsestee
52770030;ooshev;Oostvoorne, Heveringseweg
52770040;ooskle;Oostvoorne, Kleidijk
52770050;oosvoo;Oostvoorne, Voorweg
52770060;oosbri;Oostvoorne, Brielseweg
52770070;oosruy;Oostvoorne, De Ruy
52770080;oosruy;Oostvoorne, De Ruy
52770090;oosbri;Oostvoorne, Brielseweg
52770100;oosvoo;Oostvoorne, Voorweg
52770110;ooskle;Oostvoorne, Kleidijk
52770120;ooshev;Oostvoorne, Heveringseweg
52770130;maatra;Maasvlakte, Haventransferium
52770140;maatra;Maasvlakte, Haventransferium
52777000;;Zonegrens 5367/5277
52777001;;Zonegrens 5267/5277
52778000;;Zonegrens, 5377/5277
52860010;brizuu;Brielle, Zuurland
52860020;nhodrp;Nieuwenhoorn, Nieuwenhoorn
52860030;viestr;Vierpolders, Straatweg
52860040;viestr;Vierpolders, Straatweg
52860060;viedkh;Vierpolders 't Dijckhuis
52870010;rocrwb;Rockanje, Rondeweibos
52870020;rocber;Rockanje, Berkenrode
52870030;rocala;Rockanje, Alardusdreef
52870040;rocboo;Rockanje, Boomweg
52870050;rocdor;Rockanje, Dorpsplein
52870060;rocwal;Rockanje, Walesteyn
52870070;rocwal;Rockanje, Walesteyn
52870080;rocdor;Rockanje, Dorpsplein
52870090;rocboo;Rockanje, Boomweg
52870100;rocala;Rockanje, Alardusdreef
53197069;Z1927R;Zonegrens 5319/5327
53260070;hoospr;Hoogvliet, Sprong
53260110;hoooud;Hoogvliet, Oude Wal
53267001;;Zonegrens 5326/5336
53267061;Z2629R;Zonegrens 5326/5329
53271270;sdmbol;Schiedam, Laan van Bol 'Es
53277071;Z2729R;Zonegrens 5327/5329
53290020;vdgsto;Vlaardingen, Station Oost
53290090;vdgdil;Vlaardingen, Dillenburgsingel
53290450;vdghol;Vlaardingen, Holirhoek
53290650;vdglep;Vlaardingen, Lepelaarsingel
53290670;vdgapl;Vlaardingen, Anna Pauwlonalaan
53297036;Z2939R;Zonegrens 5329/5339
53297062;Z2629R;Zonegrens 5326/5329
53297063;Z1929S;Zonegrens 5319/5329
53360020;spispo;Spijkenisse, Sportlaan
53360030;spihek;Spijkenisse, Hekelingseweg
53360040;spianj;Spijkenisse, Anjerplein
53360050;spigeb;Spijkenisse, Gebroken Meeldijk
53360060;spiwil;Spijkenisse, Willemshoevelaan
53360070;spikre;Spijkenisse, De Kreek
53360080;spiwat;Spijkenisse, Wattweg
53360090;spiwoo;Spijkenisse, Woonkreek
53360100;spivre;Spijkenisse, Vredehofplein
53360120;spioer;Spijkenisse, De Ritte
53360140;spicen;Spijkenisse, Centrum
53360141;spicen;Spijkenisse, Centrum
53360150;spisch;Spijkenisse, De Schouw
53360170;spisla;Spijkenisse, Slakkenveen
53360180;spipla;Spijkenisse, Planetenlaan
53360190;spiwat;Spijkenisse, Wattweg
53360210;spivli;Spijkenisse, Vlinderveen
53360220;spicop;Spijkenisse, Copernicuslaan
53360230;spibaa;Spijkenisse, Baarsveen
53360250;spieik;Spijkenisse, Eikenlaan
53360265;spimce;Spijkenisse, Metro Centrum
53360266;spimce;Spijkenisse, Metro Centrum
53360268;spimce;Spijkenisse, Metro Centrum
53360270;spimar;Spijkenisse, De Marckenburgh
53360280;spibun;Spijkenisse, Buntgras
53360290;spikel;Spijkenisse, Kelvinweg
53360300;spimar;Spijkenisse, De Marckenburgh
53360310;spibun;Spijkenisse, Buntgras
53360320;spieik;Spijkenisse, Eikenlaan
53360330;spimed;Spijkenisse, Medocgaard
53360340;spibaa;Spijkenisse, Baarsveen
53360350;spihee;Spijkenisse, Heemraadlaan
53360360;spivli;Spijkenisse, Vlinderveen
53360370;spicop;Spijkenisse, Copernicuslaan
53360380;spiwaa;Spijkenisse, De Waaijer
53360390;spishf;Spijkenisse, Sterrenhof
53360400;spisla;Spijkenisse, Slakkenveen
53360410;spizom;Spijkenisse, Zomertuinen
53360420;spisch;Spijkenisse, De Schouw
53360440;spizom;Spijkenisse, Zomertuinen
53360450;spicen;Spijkenisse, Centrum
53360451;spicen;Spijkenisse, Centrum
53360460;spimhe;Spijkenisse, Metro Heemraadlaan
53360470;spioer;Spijkenisse, De Ritte
53360480;spigaa;Spijkenisse, De Gaard
53360490;spivre;Spijkenisse, Vredehofplein
53360500;spiwyn;Spijkenisse, Wijngaard
53360520;spiwoo;Spijkenisse, Woonkreek
53360530;spiwil;Spijkenisse, Willemshoevelaan
53360540;spikre;Spijkenisse, De Kreek
53360550;spianj;Spijkenisse, Anjerplein
53360560;spigeb;Spijkenisse, Gebroken Meeldijk
53360570;spispo;Spijkenisse, Sportlaan
53360580;spihek;Spijkenisse, Hekelingseweg
53360590;spilag;Spijkenisse, Laanweg
53360600;spilep;Spijkenisse, Lepelaarhoek
53360610;spimhe;Spijkenisse, Metro Heemraadlaan
53360620;spishk;Spijkenisse, Sternhoek
53360630;spibac;Spijkenisse, Bachbaan
53360640;spibac;Spijkenisse, Bachbaan
53360650;spishk;Spijkenisse, Sternhoek
53360660;spiuyl;Spijkenisse, Dr.J.M. Den Uyllaan
53360670;spilep;Spijkenisse, Lepelaarhoek
53360680;spihw2;Spijkenisse, Halfweg 2
53360690;spihw2;Spijkenisse, Halfweg 2
53360700;spisgr;Spijkenisse, Schaduwgras
53360710;spisgr;Spijkenisse, Schaduwgras
53360720;spiele;Spijkenisse, Elementenweg
53360741;spinij;Spijkenisse, Nijendalsingel
53360751;spinij;Spijkenisse, Nijendalsingel
53360760;spispg;Spijkenisse, Meubelboulevard
53360770;spispg;Spijkenisse, Meubelboulevard
53360780;spiakk;Spijkenisse, Metro Akkers
53360781;spiakk;Spijkenisse, Metro Akkers
53360800;spiouv;Spijkenisse, Ouverturelaan
53360810;spiouv;Spijkenisse, Ouverturelaan
53360820;spimak;Spijkenisse, Westakker
53360830;spimak;Spijkenisse, Westakker
53360835;spimak;Spijkenisse, Westakker
53360840;spiheu;Spijkenisse, 1e Heulbrugstraat
53360850;spiheu;Spijkenisse, 1e Heulbrugstraat
53360860;spiroz;Spijkenisse, Rozenlaan
53360870;spiroz;Spijkenisse, Rozenlaan
53360880;spidal;Spijkenisse, Dallelaan
53360890;spidal;Spijkenisse, Dallelaan
53360900;spihon;Spijkenisse, De Vier Werelden
53360920;spidon;Spijkenisse, Donaulaan
53360930;spiriv;Spijkenisse, Rivierlaan
53360960;spiriv;Spijkenisse, Rivierlaan
53360970;spidon;Spijkenisse, Donaulaan
53360980;spiijs;Spijkenisse, IJsselstraat
53360990;spiijs;Spijkenisse, IJsselstraat
53361000;spismi;Spijkenisse, Joke Smitlaan
53361010;spismi;Spijkenisse, Joke Smitlaan
53361040;spihat;Spijkenisse, A. van Hattemstraat
53361050;spihat;Spijkenisse, A. van Hattemstraat
53361100;hekdor;Hekelingen, Dorpsstraat
53361140;spikel;Spijkenisse, Kelvinweg
53361180;spihof;Spijkenisse, Hofweg
53361190;spihof;Spijkenisse, Hofweg
53361200;spidro;Spijkenisse, Winkelcentrum Maaswijk
53361210;spidro;Spijkenisse, Winkelcentrum Maaswijk
53361220;spizin;Spijkenisse, Zinkseweg
53361230;spiver;Spijkenisse, A. Romein-Verschoorlaan
53361240;spiver;Spijkenisse, A. Romein-Verschoorlaan
53361250;spizin;Spijkenisse, Zinkseweg
53361260;spiplo;Spijkenisse, Ploegvoorde
53361270;spiplo;Spijkenisse, Ploegvoorde
53361280;spioma;Spijkenisse, Oude Maasweg
53361290;spigro;Spijkenisse, Groenoordweg
53361300;hekdph;Hekelingen, Dorpshuis
53361320;heksch;Hekelingen, Schoollaan
53361330;spidkd;Spijkenisse, De Kromme Dreef
53361340;spiura;Spijkenisse, Uranusstraat
53361350;spihgh;Spijkenisse, Herman Gorterhof
53361360;spirib;Spijkenisse, Rivierabad
53361370;spiwie;Spijkenisse, Wielrenpad
53361380;spibdr;Spijkenisse, B. de Roijstraat
53361390;hekklu;Hekelingen, Kluivertweg
53361400;spidom;Spijkenisse, De Ommering
53361501;spimce;Spijkenisse, Metro Centrum
53361503;spimce;Spijkenisse, Metro Centrum
53361504;spimce;Spijkenisse, Metro Centrum
53361505;spimce;Spijkenisse, Metro Centrum
53361506;spimce;Spijkenisse, Metro Centrum
53361507;spimce;Spijkenisse, Metro Centrum
53367000;;Zonegrens, 5336/5337
53367001;;Zonegrens 5326/5336
53367002;;Zonegrens 5337/5336
53367067;Z2636R;Zonegrens 5326/5336
53369002;;Waypoint 002
53369027;;Waypoint 027
53369028;;Waypoint 028
53369029;;Waypoint 029
53370010;rozpgb;Rozenburg, Prof. Gerbrandyweg
53370020;botess;Botlek, Esso
53370030;botbot;Botlek, Botlekstraat
53370040;botwel;Botlek, Welplaatweg
53370050;botthe;Botlek, Theemsweg
53370060;botche;Botlek, Chemieweg
53370070;botche;Botlek, Chemieweg
53370080;botthe;Botlek, Theemsweg
53370090;botwel;Botlek, Welplaatweg
53370100;botbot;Botlek, Botlekstraat
53370110;botess;Botlek, Esso
53370120;botnie;Botlek, Nieuwesluisweg
53370131;botoli;Botlek, Oliphantweg
53370140;botdis;Botlek, Distripark
53370170;botsha;Botlek, Shannonweg
53370240;botwel;Botlek, Welplaatweg
53371090;maabos;Maasvlakte, Bosporusstraat
53377000;;Zonegrens, 5336/5337
53377001;;Zonegrens 5336/5337
53377002;;Zonegrens 5347/5337
53379008;;Waypoint 008
53379009;;Waypoint 009
53379010;;Waypoint 010
53379011;;Waypoint 011
53397033;Z3949S;Zonegrens 5339/5349 (Rechtdoor)
53470010;rozvol;Rozenburg, Volgerweg
53470020;rozpgb;Rozenburg, Prof. Gerbrandyweg
53470030;rozmee;Rozenburg, Meeuwensingel
53470040;rozeik;Rozenburg, Eikenlaan
53470050;rozgro;Rozenburg, Grote Stern
53470060;rozbla;Rozenburg, Laan van Nw.Blankenburg
53470070;rozraa;Rozenburg, Raadhuisplein
53470080;rozraa;Rozenburg, Raadhuisplein
53470090;rozbla;Rozenburg, Laan van Nw.Blankenburg
53470100;rozgro;Rozenburg, Grote Stern
53470110;rozeik;Rozenburg, Eikenlaan
53470120;rozmee;Rozenburg, Meeuwensingel
53470130;rozsto;Rozenburg, Noordererf
53470140;rozvol;Rozenburg, Volgerweg
53470160;rozruy;Rozenburg, Ruysdaelstraat
53477000;;Zonegrens 5267/5347
53477001;;Zonegrens 5337/5347
53477002;;Zonegrens 5357/5347
53497030;Z4949R;Zonegrens 5349/5449
53577001;;Zonegrens 5347/5357
53577002;;Zonegrens 5367/5357
53671130;eurbph;Europoort, BP Hoofdkantoor
53671140;eurinn;Europoort, Innocent
53671150;eurpih;Europoort, Pistoolhaven
53671180;eurbpr;Europoort, BP Raffinaderij
53671210;eurfha;Europoort, Ferryhaven
53671220;eurelb;Europoort, Elbeweg
53677000;;Zonegrens 5277/5367
53677001;;Zonegrens 5357/5367
53771020;maaber;Maasvlakte, Beringstraat
53771030;maason;Maasvlakte, Sontstraat
53771050;maamal;Maasvlakte, Malakkastraat
53771060;maapla;Maasvlakte, Maasvlakte Plaza
53771070;maadou;Maasvlakte, Douane
53771080;maabos;Maasvlakte, Bosporusstraat
53771170;maazzw;Maasvlakte, Zwarte Zeeweg
53771200;maamag;Maasvlakte, Magallanesstraat
53771360;maakoe;Maasvlakte, Koerilenstraat
53771370;maanbf;Maasvlakte, Nature Bio Foods
53777000;;Zonegrens 5387/5377
53778000;;Zonegrens, 5277/5377
53871100;maacol;Maasvlakte, Coloradoweg
53871110;maafut;Maasvlakte, Futureland
53871120;maaaus;Maasvlakte, Australi weg
53871160;maaant;Maasvlakte, Antarcticaweg
53871190;maanes;Maasvlakte, Neste
53871350;maagad;Maasvlakte, Gate D
53877000;;Zonegrens 5377/5387
54390350;hslbvh;Honselersdijk, Veilingterr. FloraHolland
54497009;Z3949;Zonegrens 5439/5449
74660010;helvoo;Hellevoetsluis, Voorweg
74660020;rocrwb;Rockanje, Rondeweibos
74660040;heldui;Hellevoetsluis, Duinpan
74660041;heldui;Hellevoetsluis, Duinpan
36380010;drpjul;De Rijp, Julianalaan
36380020;drpgro;De Rijp, Grote Dam
36380030;drpber;De Rijp, Bernhardstraat
36380040;drpoos;De Rijp, Oosteinde
36380050;drpoos;De Rijp, Oosteinde
36380060;drpber;De Rijp, Bernhardstraat
36380070;drpgro;De Rijp, Grote Dam
36380520;drpjul;De Rijp, Julianalaan
36380561;drpwol;De Rijp, Wollandje
36380562;drpwol;De Rijp, Wollandje
36387000;;Zonegrens, 3638/3647
36387010;;Zonegrens, 3638/3647 (Westeinde)
36470011;wbsker;Westbeemster, Kerkplein (belbushalte)
36470080;mbsbuu;Middenbeemster, De Buurt
36470090;mbsins;Middenbeemster, Insulindeweg
36470100;mbsbuu;Middenbeemster, De Buurt
36470120;mbsins;Middenbeemster, Insulindeweg
36470190;wbsbli;Westbeemster, Blikken Schel
36470220;mbsnek;Middenbeemster, Nekkerweg
36470230;mbsnek;Middenbeemster, Nekkerweg
36470240;mbsgro;Middenbeemster, Groenveld
36470250;mbsgro;Middenbeemster, Groenveld
36470280;wbskla;Westbeemster, Klaterbuurt
36470290;wbskla;Westbeemster, Klaterbuurt
36470330;mbshog;Middenbeemster, K.Hogetoornlaan
36470340;mbshog;Middenbeemster, K.Hogetoornlaan
36470350;mbswes;Middenbeemster, Westerhem
36470360;mbswes;Middenbeemster, Westerhem
36470370;mbscro;Middenbeemster, N.Cromhoutlaan
36470380;mbscro;Middenbeemster, N.Cromhoutlaan
36470390;wbsbli;Westbeemster, Blikken Schel
36470420;mbspri;Middenbeemster, Prinses Beatrixpark
36470430;mbspri;Middenbeemster, Prinses Beatrixpark
36477010;;Zonegrens, 3647/3657 (Rijperweg)
36477011;;Zonegrens, 3638/3647
36477015;;Zonegrens, 3638/3647 (Westeinde)
36570020;zobslu;Zuidoostbeemster, Wouter Sluislaan
36570100;zobzui;Zuidoostbeemster, Zuiderhof
36570110;zobzui;Zuidoostbeemster, Zuiderhof
36570160;zobvol;Zuidoostbeemster, Volgerweg
36570170;zobvol;Zuidoostbeemster, Volgerweg
36570180;zobrij;Zuidoostbeemster, Rijperweg/Purmerenderweg
36570190;zobrij;Zuidoostbeemster, Rijperweg/Purmerenderweg
36570200;zobkwa;Zuidoostbeemster, Kwadijkerweg
36570210;zobkwa;Zuidoostbeemster, Kwadijkerweg
36570400;zobmid;Zuidoostbeemster, Middenpad
36570410;zobmid;Zuidoostbeemster, Middenpad
36572030;purp+r;Purmerend, P+R N244
36572040;purp+r;Purmerend, P+R N244
36572050;kwadur;Kwadijk, Durkweg
36572060;kwadur;Kwadijk, Durkweg
36573050;zobboo;Zuidoostbeemster, De Boomgaard
36573060;zobboo;Zuidoostbeemster, De Boomgaard
36573070;zobmid;Zuidoostbeemster, Middenpad
36573080;zobmid;Zuidoostbeemster, Middenpad
36573530;zobslu;Zuidoostbeemster, Wouter Sluislaan
36577000;;Zonegrens, 3657/3740
36577012;;Zonegrens, 3647/3657 (Rijperweg)
36577014;;Zonegrens, 3657/3740 (Zuiderweg)
36579001;;Waypoint 105
37200020;watdol;Watergang, De Dollard
37200030;watdor;Watergang, Watergang
37200050;watdol;Watergang, De Dollard
37200080;watdor;Watergang, Watergang
37200510;ilpjaa;Ilpendam, Jaagweg
37200540;schspl;Schouw, Splitsing
37200550;schspl;Schouw, Splitsing
37201010;biwdor;Broek in Waterland, Broek in Waterland
37201020;schspl;Schouw, Splitsing
37201030;biwkru;Broek in Waterland, Kruisweg
37201040;biwkru;Broek in Waterland, Kruisweg
37201050;schspl;Schouw, Splitsing
37201060;ilpjaa;Ilpendam, Jaagweg
37207000;;Zonegrens, 3720/5711
37207011;;Zonegrens, 3720/3730
37209001;;Waypoint 128
37209002;;Waypoint 108
37209003;;Waypoint 107
37209004;;Waypoint 124
37209005;;Waypoint 106
37212100;lan78;Landsmeer, Noordeinde Nr 78
37212120;lan040;Landsmeer, Noordeinde Nr 40
37212140;lanver;Landsmeer, Vermaning
37212160;dil038;Den Ilp, Nr 38
37212250;lanvog;Landsmeer, Vogelwikkestraat
37212260;lan122;Landsmeer, Noordeinde Nr 122
37212270;lanzwa;Landsmeer, Zwanebloemweg
37212290;lanfuu;Landsmeer, Fuutstraat
37212310;langou;Landsmeer, Goudpluvier
37212330;lanraa;Landsmeer, Raadhuisstraat
37212340;lanraa;Landsmeer, Raadhuisstraat
37212350;lanbee;Landsmeer, Landsmeer Centrum
37212370;lanluy;Landsmeer, Luyendijk
37212380;lanbpo;Landsmeer, Burg. Postweg
37212390;lanbpo;Landsmeer, Burg. Postweg
37212400;lansch;Landsmeer, Scheepsbouwersweg
37212410;lansch;Landsmeer, Scheepsbouwersweg
37212420;langei;Landsmeer, Geijenbreek
37212430;langei;Landsmeer, Geijenbreek
37212630;dil038;Den Ilp, Nr 38
37212670;lanver;Landsmeer, Vermaning
37212690;lan040;Landsmeer, Noordeinde Nr 40
37212710;lan78;Landsmeer, Noordeinde Nr 78
37212732;lan122;Landsmeer, Noordeinde Nr 122
37212810;lanroe;Landsmeer, Roerdompstraat
37212830;lanbee;Landsmeer, Landsmeer Centrum
37212840;lanluy;Landsmeer, Luyendijk
37212880;lanraa;Landsmeer, Raadhuisstraat
37217000;;Zonegrens, 3721/3731
37300520;ilpdor;Ilpendam, Ilpendam
